ID,Period,Date,First,Second,Third,Fourth,Fifth,Sixth,Special
122,98024,2009-03-23,3,4,9,25,34,37,5
123,98025,2009-03-26,9,10,25,26,32,34,2
124,98026,2009-03-30,14,20,31,35,36,37,3
125,98027,2009-04-02,7,14,21,27,32,34,3
126,98028,2009-04-06,7,9,10,11,19,32,2
127,98029,2009-04-09,3,8,10,14,29,30,3
128,98030,2009-04-13,2,14,16,19,27,35,5
129,98031,2009-04-16,6,10,14,15,16,17,2
130,98032,2009-04-20,5,20,24,26,31,36,1
131,98033,2009-04-23,5,6,7,17,33,35,3
132,98034,2009-04-27,1,3,10,20,24,32,4
133,98035,2009-04-30,12,13,29,33,37,38,8
134,98036,2009-05-04,3,24,25,27,35,36,8
135,98037,2009-05-07,3,4,7,9,27,28,8
136,98038,2009-05-11,2,8,9,17,37,38,4
137,98039,2009-05-14,8,13,20,23,31,35,5
138,98040,2009-05-18,6,7,9,10,13,26,7
139,98041,2009-05-21,5,9,17,29,34,35,7
140,98042,2009-05-25,4,16,17,22,29,38,3
141,98043,2009-05-28,1,7,15,16,25,31,4
142,98044,2009-06-01,6,14,16,17,26,35,7
143,98045,2009-06-04,12,18,19,20,24,34,7
144,98046,2009-06-08,6,7,18,26,27,31,2
145,98047,2009-06-11,1,4,16,18,20,32,7
146,98048,2009-06-15,3,10,17,19,23,25,4
147,98049,2009-06-18,5,16,17,24,34,38,8
148,98050,2009-06-22,4,13,14,16,21,29,7
149,98051,2009-06-25,6,10,25,31,35,38,7
150,98052,2009-06-29,1,14,20,21,25,26,5
151,98053,2009-07-02,6,15,16,27,34,37,6
152,98054,2009-07-06,3,4,5,9,24,33,5
153,98055,2009-07-09,4,8,12,23,25,33,2
154,98056,2009-07-13,6,23,26,34,36,38,4
155,98057,2009-07-16,9,10,23,26,31,34,1
156,98058,2009-07-20,2,15,19,22,29,33,4
157,98059,2009-07-23,13,26,32,33,36,37,7
158,98060,2009-07-27,12,13,16,25,31,36,4
159,98061,2009-07-30,11,13,15,18,24,25,4
160,98062,2009-08-03,4,15,17,24,26,38,8
161,98063,2009-08-06,3,4,5,13,32,35,8
162,98064,2009-08-10,6,11,15,18,23,30,3
163,98065,2009-08-13,3,5,8,23,24,31,8
164,98066,2009-08-17,9,21,25,27,29,36,8
165,98067,2009-08-20,8,22,25,26,33,38,4
166,98068,2009-08-24,13,15,24,26,28,36,5
167,98069,2009-08-27,1,4,7,16,18,30,2
168,98070,2009-08-31,4,8,18,25,30,33,8
169,98071,2009-09-03,1,7,10,11,16,28,3
170,98072,2009-09-07,1,10,13,18,19,24,3
171,98073,2009-09-10,1,11,13,18,23,24,3
172,98074,2009-09-14,3,6,8,15,24,31,8
173,98075,2009-09-17,3,6,22,24,31,32,6
174,98076,2009-09-21,4,7,9,10,16,33,7
175,98077,2009-09-24,2,6,14,30,33,34,2
176,98078,2009-09-28,7,8,12,13,16,22,7
177,98079,2009-10-01,6,18,19,21,27,38,4
178,98080,2009-10-05,4,8,16,19,22,33,1
179,98081,2009-10-08,1,13,20,21,26,32,7
180,98082,2009-10-12,4,10,16,22,34,38,2
181,98083,2009-10-15,7,10,14,25,28,31,1
182,98084,2009-10-19,2,4,12,21,25,30,7
183,98085,2009-10-22,5,7,18,19,30,35,8
184,98086,2009-10-26,3,4,9,12,24,32,5
185,98087,2009-10-29,11,12,16,19,20,27,4
186,98088,2009-11-02,8,10,11,14,20,23,6
187,98089,2009-11-05,3,5,21,23,31,36,6
188,98090,2009-11-09,1,18,24,29,32,38,5
189,98091,2009-11-12,3,6,19,22,28,35,3
190,98092,2009-11-16,10,15,18,23,30,34,7
191,98093,2009-11-19,5,10,21,22,26,35,6
192,98094,2009-11-23,1,2,15,16,26,29,4
193,98095,2009-11-26,13,20,21,24,30,36,3
194,98096,2009-11-30,1,6,10,17,19,28,1
195,98097,2009-12-03,17,18,22,24,25,30,5
196,98098,2009-12-07,4,5,12,25,34,38,1
197,98099,2009-12-10,11,12,19,22,23,28,4
198,98100,2009-12-14,4,5,10,16,17,20,6
199,98101,2009-12-17,16,19,20,23,26,28,1
200,98102,2009-12-21,3,15,17,20,23,29,8
201,98103,2009-12-24,14,18,20,32,35,37,7
202,98104,2009-12-28,10,12,15,17,25,34,5
203,98105,2009-12-31,14,22,25,27,29,32,1
204,99001,2010-01-04,13,20,25,27,30,32,7
205,99002,2010-01-07,1,20,26,33,36,37,5
206,99003,2010-01-11,15,21,23,25,26,34,3
207,99004,2010-01-14,1,2,7,22,27,32,4
208,99005,2010-01-18,9,11,24,25,26,38,4
209,99006,2010-01-21,4,10,16,17,29,36,8
210,99007,2010-01-25,7,10,14,24,27,34,2
211,99008,2010-01-28,3,6,16,17,27,35,2
212,99009,2010-02-01,3,5,19,29,31,38,7
213,99010,2010-02-04,10,16,17,20,25,38,4
214,99011,2010-02-08,7,12,16,17,19,21,6
215,99012,2010-02-11,6,13,16,18,19,34,1
216,99013,2010-02-15,2,12,23,26,28,29,5
217,99014,2010-02-18,2,4,11,14,24,36,6
218,99015,2010-02-22,3,11,17,23,24,34,5
219,99016,2010-02-25,9,26,32,33,37,38,1
220,99017,2010-03-01,3,10,12,14,19,37,4
221,99018,2010-03-04,10,16,18,24,34,38,5
222,99019,2010-03-08,3,5,9,27,30,33,6
223,99020,2010-03-11,14,16,17,19,35,37,8
224,99021,2010-03-15,12,13,18,30,32,36,5
225,99022,2010-03-18,7,11,18,20,26,32,5
226,99023,2010-03-22,2,4,11,14,35,36,1
227,99024,2010-03-25,19,23,26,27,33,37,3
228,99025,2010-03-29,11,23,28,31,36,37,3
229,99026,2010-04-01,14,16,23,24,27,31,7
230,99027,2010-04-05,2,18,19,20,26,37,8
231,99028,2010-04-08,2,7,20,23,25,36,3
232,99029,2010-04-12,8,11,12,30,33,34,2
233,99030,2010-04-15,1,6,19,24,30,37,1
234,99031,2010-04-19,1,3,6,13,29,38,3
235,99032,2010-04-22,8,16,21,29,30,37,2
236,99033,2010-04-26,3,8,21,33,35,38,1
237,99034,2010-04-29,10,12,16,21,28,29,3
238,99035,2010-05-03,1,4,9,16,27,33,5
239,99036,2010-05-06,3,11,13,23,30,32,6
240,99037,2010-05-10,17,18,23,26,28,29,1
241,99038,2010-05-13,7,11,14,23,31,34,4
242,99039,2010-05-17,1,2,3,29,33,35,5
243,99040,2010-05-20,12,13,14,19,35,38,2
244,99041,2010-05-24,1,3,12,16,24,29,7
245,99042,2010-05-27,6,7,8,16,20,36,1
246,99043,2010-05-31,1,4,8,17,30,34,4
247,99044,2010-06-03,4,9,21,30,33,34,2
248,99045,2010-06-07,3,14,21,22,24,28,5
249,99046,2010-06-10,9,17,20,27,28,38,6
250,99047,2010-06-15,3,7,15,16,24,33,3
251,99048,2010-06-17,1,5,6,13,22,27,8
252,99049,2010-06-21,1,9,22,27,30,38,1
253,99050,2010-06-24,12,14,19,32,34,36,3
254,99051,2010-06-28,3,7,10,22,27,34,1
255,99052,2010-07-01,3,4,6,11,14,19,6
256,99053,2010-07-05,1,3,18,25,35,37,5
257,99054,2010-07-08,6,22,23,24,25,29,3
258,99055,2010-07-12,1,3,17,20,25,27,1
259,99056,2010-07-15,2,11,14,22,23,29,7
260,99057,2010-07-19,12,15,16,19,26,38,6
261,99058,2010-07-22,5,8,14,16,35,37,3
262,99059,2010-07-26,5,14,27,31,34,36,4
263,99060,2010-07-29,8,14,18,21,36,38,8
264,99061,2010-08-02,3,5,17,21,22,24,7
265,99062,2010-08-05,14,22,24,27,29,37,6
266,99063,2010-08-09,4,7,14,18,31,35,7
267,99064,2010-08-12,3,4,8,15,35,38,3
268,99065,2010-08-16,3,14,20,22,31,36,8
269,99066,2010-08-19,2,4,20,22,25,34,1
270,99067,2010-08-23,9,13,15,18,22,27,2
271,99068,2010-08-26,1,8,13,15,22,38,8
272,99069,2010-08-30,1,13,21,22,23,29,1
273,99070,2010-09-02,9,14,15,17,28,33,4
274,99071,2010-09-06,5,7,30,32,34,36,6
275,99072,2010-09-09,4,16,17,22,24,34,2
276,99073,2010-09-13,7,8,12,18,24,33,7
277,99074,2010-09-16,4,10,13,20,26,35,2
278,99075,2010-09-20,6,9,13,19,28,36,6
279,99076,2010-09-23,3,7,12,15,32,34,7
280,99077,2010-09-27,8,20,22,24,33,36,2
281,99078,2010-09-30,9,11,14,31,32,35,7
282,99079,2010-10-04,4,10,18,20,32,35,1
283,99080,2010-10-07,1,5,6,17,28,32,2
284,99081,2010-10-11,8,10,11,21,22,34,6
285,99082,2010-10-14,5,20,25,29,35,37,2
286,99083,2010-10-18,4,11,21,23,28,38,5
287,99084,2010-10-21,11,14,18,19,29,38,5
288,99085,2010-10-25,10,11,16,23,33,37,3
289,99086,2010-10-28,15,20,23,25,26,32,7
290,99087,2010-11-01,2,10,12,13,18,29,4
291,99088,2010-11-04,1,3,20,28,33,36,5
292,99089,2010-11-08,5,10,28,33,36,38,6
293,99090,2010-11-11,4,17,22,24,28,36,6
294,99091,2010-11-15,7,8,11,22,25,37,7
295,99092,2010-11-18,5,14,17,23,28,38,2
296,99093,2010-11-22,8,21,23,24,27,28,2
297,99094,2010-11-25,5,7,18,25,36,38,7
298,99095,2010-11-29,20,25,27,29,30,33,2
299,99096,2010-12-02,3,15,19,22,28,32,6
300,99097,2010-12-06,1,7,18,19,20,28,8
301,99098,2010-12-09,1,3,4,11,12,19,8
302,99099,2010-12-13,7,9,10,12,27,36,4
303,99100,2010-12-16,4,7,18,25,28,32,5
304,99101,2010-12-20,1,2,7,20,29,38,7
305,99102,2010-12-23,1,4,7,10,19,31,5
306,99103,2010-12-27,3,16,23,28,31,32,8
307,99104,2010-12-30,1,24,29,31,33,38,3
308,100001,2011-01-03,2,6,12,20,36,38,6
309,100002,2011-01-06,3,11,20,22,26,27,3
310,100003,2011-01-10,17,28,29,33,35,36,8
311,100004,2011-01-13,1,6,7,18,28,34,6
312,100005,2011-01-17,1,2,19,25,30,31,4
313,100006,2011-01-20,1,4,10,22,25,31,8
314,100007,2011-01-24,10,14,18,21,32,33,7
315,100008,2011-01-27,2,3,11,19,24,35,2
316,100009,2011-01-31,4,10,21,28,31,32,7
317,100010,2011-02-03,8,10,16,23,29,37,2
318,100011,2011-02-07,4,6,15,20,32,38,3
319,100012,2011-02-10,10,13,30,32,36,37,2
320,100013,2011-02-14,8,11,19,23,25,38,5
321,100014,2011-02-17,4,11,12,20,26,38,7
322,100015,2011-02-21,9,19,23,28,35,38,1
323,100016,2011-02-24,3,8,13,14,16,26,5
324,100017,2011-02-28,5,13,14,18,26,29,7
325,100018,2011-03-03,1,15,17,23,27,35,7
326,100019,2011-03-07,2,10,16,30,33,37,4
327,100020,2011-03-10,4,5,19,24,31,37,8
328,100021,2011-03-14,4,5,6,11,18,26,4
329,100022,2011-03-17,1,3,11,14,32,36,2
330,100023,2011-03-21,8,17,18,20,33,37,2
331,100024,2011-03-24,4,19,27,29,35,37,4
332,100025,2011-03-28,3,7,16,24,27,34,8
333,100026,2011-03-31,17,19,31,32,36,38,4
334,100027,2011-04-04,2,25,28,32,33,37,8
335,100028,2011-04-07,6,12,14,20,30,31,1
336,100029,2011-04-11,15,16,21,29,31,33,4
337,100030,2011-04-14,15,17,18,24,25,27,6
338,100031,2011-04-18,5,6,7,17,23,26,7
339,100032,2011-04-21,1,10,26,32,34,36,8
340,100033,2011-04-25,2,3,12,17,22,26,1
341,100034,2011-04-28,3,9,29,31,32,34,5
342,100035,2011-05-02,7,17,19,21,22,36,3
343,100036,2011-05-05,5,6,13,14,26,38,5
344,100037,2011-05-09,3,15,25,31,35,36,3
345,100038,2011-05-12,10,19,24,25,30,31,7
346,100039,2011-05-16,3,8,17,21,29,37,8
347,100040,2011-05-19,2,6,16,19,35,38,8
348,100041,2011-05-23,8,11,13,16,24,26,4
349,100042,2011-05-26,6,8,12,19,21,30,8
350,100043,2011-05-30,2,10,22,30,32,37,4
351,100044,2011-06-02,1,4,19,22,30,33,4
352,100045,2011-06-06,10,16,22,36,37,38,4
353,100046,2011-06-09,3,12,13,15,36,37,3
354,100047,2011-06-13,7,9,11,18,31,36,1
355,100048,2011-06-16,8,15,25,29,33,38,1
356,100049,2011-06-20,4,6,10,22,27,34,2
357,100050,2011-06-23,3,20,26,28,30,36,5
358,100051,2011-06-27,4,6,15,23,33,35,3
359,100052,2011-06-30,15,17,19,30,35,38,1
360,100053,2011-07-04,1,5,12,17,31,37,6
361,100054,2011-07-07,2,7,19,22,33,37,1
362,100055,2011-07-11,2,4,12,14,28,32,2
363,100056,2011-07-14,2,10,12,31,33,37,1
364,100057,2011-07-18,3,13,29,30,32,37,6
365,100058,2011-07-21,1,7,19,20,21,26,7
366,100059,2011-07-25,5,8,18,20,22,23,1
367,100060,2011-07-28,1,6,19,25,34,35,8
368,100061,2011-08-01,14,19,22,27,31,34,7
369,100062,2011-08-04,6,14,17,23,24,33,1
370,100063,2011-08-08,7,8,27,34,37,38,1
371,100064,2011-08-11,1,6,8,18,25,29,5
372,100065,2011-08-15,2,11,14,15,30,35,7
373,100066,2011-08-18,5,6,7,8,32,37,3
374,100067,2011-08-22,2,3,12,21,25,37,4
375,100068,2011-08-25,1,8,13,14,16,36,7
376,100069,2011-08-29,6,10,15,22,29,35,1
377,100070,2011-09-01,2,10,11,13,27,29,2
378,100071,2011-09-05,7,16,26,27,33,36,4
379,100072,2011-09-08,4,6,8,12,15,21,7
380,100073,2011-09-12,4,6,7,17,32,36,7
381,100074,2011-09-15,1,3,17,18,21,34,7
382,100075,2011-09-19,7,11,24,25,37,38,3
383,100076,2011-09-22,11,20,22,23,27,38,2
