ID,Period,Date,First,Second,Third,Fourth,Fifth,Sixth,Special
122,98024,2009-03-23,34,3,37,25,9,4,5
123,98025,2009-03-26,25,26,34,9,32,10,2
124,98026,2009-03-30,37,31,35,20,36,14,3
125,98027,2009-04-02,32,21,27,14,34,7,3
126,98028,2009-04-06,32,9,10,19,7,11,2
127,98029,2009-04-09,8,30,14,10,3,29,3
128,98030,2009-04-13,2,27,35,16,19,14,5
129,98031,2009-04-16,14,10,15,6,17,16,2
130,98032,2009-04-20,20,31,5,24,36,26,1
131,98033,2009-04-23,17,6,7,35,33,5,3
132,98034,2009-04-27,32,24,1,3,10,20,4
133,98035,2009-04-30,13,12,33,29,37,38,8
134,98036,2009-05-04,3,35,25,36,27,24,8
135,98037,2009-05-07,4,3,9,27,7,28,8
136,98038,2009-05-11,37,17,38,8,9,2,4
137,98039,2009-05-14,20,23,35,13,31,8,5
138,98040,2009-05-18,26,6,13,9,7,10,7
139,98041,2009-05-21,29,34,9,17,5,35,7
140,98042,2009-05-25,4,22,17,29,16,38,3
141,98043,2009-05-28,7,31,16,25,1,15,4
142,98044,2009-06-01,35,17,14,26,6,16,7
143,98045,2009-06-04,34,19,18,20,12,24,7
144,98046,2009-06-08,26,31,18,7,27,6,2
145,98047,2009-06-11,32,18,16,20,1,4,7
146,98048,2009-06-15,25,17,23,3,10,19,4
147,98049,2009-06-18,34,16,17,24,5,38,8
148,98050,2009-06-22,21,14,4,29,13,16,7
149,98051,2009-06-25,31,6,35,10,38,25,7
150,98052,2009-06-29,21,1,14,26,20,25,5
151,98053,2009-07-02,27,15,34,6,16,37,6
152,98054,2009-07-06,4,33,5,24,3,9,5
153,98055,2009-07-09,8,12,23,33,4,25,2
154,98056,2009-07-13,38,6,26,34,23,36,4
155,98057,2009-07-16,10,26,31,23,34,9,1
156,98058,2009-07-20,2,22,19,33,15,29,4
157,98059,2009-07-23,13,32,26,33,36,37,7
158,98060,2009-07-27,13,25,16,12,36,31,4
159,98061,2009-07-30,15,13,25,24,11,18,4
160,98062,2009-08-03,15,17,26,38,24,4,8
161,98063,2009-08-06,4,35,13,3,32,5,8
162,98064,2009-08-10,23,18,11,15,30,6,3
163,98065,2009-08-13,3,23,31,24,5,8,8
164,98066,2009-08-17,27,29,21,9,36,25,8
165,98067,2009-08-20,22,8,26,25,38,33,4
166,98068,2009-08-24,24,13,15,26,28,36,5
167,98069,2009-08-27,18,30,4,16,1,7,2
168,98070,2009-08-31,30,18,25,33,4,8,8
169,98071,2009-09-03,16,7,11,10,28,1,3
170,98072,2009-09-07,10,19,24,18,13,1,3
171,98073,2009-09-10,11,13,23,18,24,1,3
172,98074,2009-09-14,31,15,8,6,3,24,8
